Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22062026,1822890169,0003159
Trade Date <22-JUN-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2484,SBIETFPB,EQ,2824,1745,61.79
20,2485,SBIETFQLTY,EQ,1844,1365,74.02
20,2486,SBILIFE,EQ,549653,325468,59.21
20,2487,SBILIQETF,EQ,22524,21497,95.44
20,2488,SBIMIDMOM,EQ,41133,22743,55.29
20,2489,SBIN,EQ,6209440,3514102,56.59
20,2490,SBINEQWETF,EQ,41895,29163,69.61
20,2491,SBINMID150,EQ,174065,172274,98.97
20,2492,SBISILVER,EQ,1062227,518372,48.80
20,2493,SBISMLETF,EQ,135733,130871,96.42
20,2494,SBIVALETF,EQ,13545,13006,96.02
20,2495,SCANSTL,EQ,109933,85314,77.61
20,2496,SCHAEFFLER,EQ,203962,126419,61.98
20,2497,SCHAND,EQ,43233,24005,55.52
20,2498,SCHNEIDER,EQ,779731,425434,54.56
20,2499,SCI,EQ,16911821,4105408,24.28
20,2500,SCILAL,EQ,485804,167869,34.55
20,2501,SCL01825,N6,184,183,99.46
20,2502,SCL25924A,N1,20,20,100.00
20,2503,SCLZC26,NB,26,26,100.00
20,2504,SCML,SM,34000,27000,79.41
20,2505,SCODATUBES,EQ,678097,412717,60.86
20,2506,SCPL,EQ,40130,20006,49.85
20,2507,SDBL,EQ,4188913,2007310,47.92
20,2508,SDREAMS,SM,5000,2000,40.00
20,2509,SEAMECLTD,EQ,97984,40095,40.92
20,2510,SECL,ST,6250,6250,100.00
20,2511,SECMARK,EQ,125,123,98.40
20,2512,SECURKLOUD,EQ,57319,50423,87.97
20,2513,SEDEMAC,EQ,300917,102460,34.05
20,2514,SEIL,EQ,1278279,674523,52.77
20,2515,SEL,ST,1000,1000,100.00
20,2516,SELECTIPO,EQ,13947,9910,71.05
20,2517,SELMC,EQ,2385,1847,77.44
20,2518,SENCO,EQ,240938,119675,49.67
20,2519,SENORES,EQ,142587,62822,44.06
20,2520,SENSEXADD,EQ,2990,2678,89.57
20,2521,SENSEXBETA,EQ,3563,2263,63.51
20,2522,SENSEXETF,EQ,30560,28324,92.68
20,2523,SENSEXIETF,EQ,14622,10036,68.64
20,2524,SEPC,EQ,63066506,13173990,20.89
20,2525,SERVICE,SM,8000,8000,100.00
20,2526,SERVOTECH,EQ,1233438,430276,34.88
20,2527,SESHAPAPER,EQ,88444,48825,55.20
20,2528,SETF10GILT,EQ,1625,993,61.11
20,2529,SETFGOLD,EQ,5372390,3296004,61.35
20,2530,SETFNIF50,EQ,587382,389945,66.39
20,2531,SETFNIFBK,EQ,21145,15461,73.12
20,2532,SETFNN50,EQ,59437,49027,82.49
20,2533,SETL,EQ,2388930,1226703,51.35
20,2534,SFL,EQ,541418,247454,45.70
20,2535,SFLZC26A,ZC,50,50,100.00
20,2536,SFML,SM,4800,3200,66.67
20,2537,SGBAPR28I,GB,342,299,87.43
20,2538,SGBAUG27,GB,42,36,85.71
20,2539,SGBAUG28V,GB,583,481,82.50
20,2540,SGBAUG29V,GB,102,70,68.63
20,2541,SGBAUG30,GB,317,107,33.75
20,2542,SGBD29VIII,GB,231,172,74.46
20,2543,SGBDC27VII,GB,80,79,98.75
20,2544,SGBDE30III,GB,356,302,84.83
20,2545,SGBDE31III,GB,1111,722,64.99
20,2546,SGBFEB27,GB,98,86,87.76
20,2547,SGBFEB28IX,GB,29,28,96.55
20,2548,SGBFEB29XI,GB,92,86,93.48
20,2549,SGBFEB32IV,GB,676,422,62.43
20,2550,SGBJ28VIII,GB,649,625,96.30
20,2551,SGBJAN27,GB,1,1,100.00
20,2552,SGBJAN29IX,GB,56,46,82.14
20,2553,SGBJAN29X,GB,129,77,59.69
20,2554,SGBJAN30IX,GB,82,81,98.78
20,2555,SGBJU29III,GB,35,20,57.14
20,2556,SGBJUL27,GB,6,6,100.00
20,2557,SGBJUL28IV,GB,741,575,77.60
20,2558,SGBJUL29IV,GB,842,500,59.38
20,2559,SGBJUN27,GB,3,3,100.00
20,2560,SGBJUN28,GB,717,431,60.11
20,2561,SGBJUN29II,GB,216,175,81.02
20,2562,SGBJUN30,GB,237,227,95.78
20,2563,SGBJUN31I,GB,861,538,62.49
20,2564,SGBMAR30X,GB,97,91,93.81
20,2565,SGBMAR31IV,GB,531,329,61.96
20,2566,SGBMAY28,GB,250,187,74.80
20,2567,SGBMAY29I,GB,389,267,68.64
20,2568,SGBMR29XII,GB,256,223,87.11
20,2569,SGBN28VIII,GB,199,160,80.40
20,2570,SGBNOV26,GB,71,49,69.01
20,2571,SGBNV29VII,GB,310,269,86.77
20,2572,SGBOC28VII,GB,51,28,54.90
20,2573,SGBOCT26,GB,7,7,100.00
20,2574,SGBOCT27,GB,258,256,99.22
20,2575,SGBOCT27VI,GB,209,131,62.68
20,2576,SGBSEP27,GB,2,2,100.00
20,2577,SGBSEP28VI,GB,601,522,86.86
20,2578,SGBSEP29VI,GB,53,27,50.94
20,2579,SGBSEP31II,GB,530,404,76.23
20,2580,SGFIN,EQ,161311,73431,45.52
20,2581,SGIL,EQ,12168,7355,60.45
20,2582,SGL,EQ,61032,54455,89.22
20,2583,SGMART,EQ,109660,63752,58.14
20,2584,SHADOWFAX,EQ,1200427,536911,44.73
20,2585,SHAH,EQ,4704103,1756108,37.33
20,2586,SHAHALLOYS,EQ,43248,28768,66.52
20,2587,SHAILY,EQ,172480,90458,52.45
20,2588,SHAKTIPUMP,EQ,1133903,406186,35.82
20,2589,SHALBY,EQ,131097,82437,62.88
20,2590,SHALPAINTS,EQ,61127,36419,59.58
20,2591,SHANTHALA,SM,1200,1200,100.00
20,2592,SHANTI,EQ,16803,13816,82.22
20,2593,SHANTIGEAR,EQ,34801,20715,59.52
20,2594,SHANTIGOLD,EQ,619383,331127,53.46
20,2595,SHARDACROP,EQ,165270,72290,43.74
20,2596,SHARDAMOTR,EQ,44676,25907,57.99
20,2597,SHARDUL,EQ,6949,6949,100.00
20,2598,SHAREINDIA,EQ,425899,271479,63.74
20,2599,SHARIABEES,EQ,5972,2980,49.90
20,2600,SHBAJRG,EQ,1213,1092,90.02
20,2601,SHEEL,SM,56000,50000,89.29
20,2602,SHEETAL,SM,5000,2000,40.00
20,2603,SHEMAROO,EQ,29178,17139,58.74
20,2604,SHERA,ST,30000,28000,93.33
20,2605,SHETHJI,ST,15000,15000,100.00
20,2606,SHIGAN,SM,7500,6000,80.00
20,2607,SHILCTECH,EQ,31806,17505,55.04
20,2608,SHILPAMED,EQ,495474,214432,43.28
20,2609,SHINDL,EQ,123751,12019,9.71
20,2610,SHIVASHRIT,SM,78000,47000,60.26
20,2611,SHIVATEX,EQ,1253,1086,86.67
20,2612,SHIVAUM,EQ,112,112,100.00
20,2613,SHK,EQ,210260,120085,57.11
20,2614,SHKSIL,SM,22000,20000,90.91
20,2615,SHOPERSTOP,EQ,17037,6859,40.26
20,2616,SHRADHA,EQ,34844,23263,66.76
20,2617,SHREDIGCEM,EQ,96682,57938,59.93
20,2618,SHREECEM,EQ,30107,21034,69.86
20,2619,SHREEJISPG,EQ,674098,201503,29.89
20,2620,SHREEKARNI,SM,5550,3450,62.16
20,2621,SHREEOSFM,SM,11000,11000,100.00
20,2622,SHREEPUSHK,EQ,28786,14967,51.99
20,2623,SHREERAMA,EQ,189204,127244,67.25
20,2624,SHREMINVIT,IV,25000,25000,100.00
20,2625,SHREYANIND,EQ,2060,1301,63.16
20,2626,SHRIAHIMSA,ST,48600,47400,97.53
20,2627,SHRIKANHA,ST,11200,11200,100.00
20,2628,SHRIKRISH,EQ,140,104,74.29
20,2629,SHRINGARMS,EQ,687678,291847,42.44
20,2630,SHRIPISTON,EQ,89385,42725,47.80
20,2631,SHRIRAMFIN,EQ,4287218,2431507,56.72
20,2632,SHRIRAMPPS,EQ,988892,475889,48.12
20,2633,SHRITECH,SM,10000,6000,60.00
20,2634,SHUBHLAXMI,SM,13000,9000,69.23
20,2635,SHUBHSHREE,SM,4200,4200,100.00
20,2636,SHYAMCENT,EQ,138650,103519,74.66
20,2637,SHYAMDHANI,ST,6000,4000,66.67
20,2638,SHYAMMETL,EQ,354816,112257,31.64
20,2639,SICAGEN,EQ,19229,16156,84.02
20,2640,SIDDHICOTS,SM,6000,6000,100.00
20,2641,SIDDHIKA,SM,1000,1000,100.00
20,2642,SIEMENS,EQ,285178,127440,44.69
20,2643,SIGIND,EQ,6644,4710,70.89
20,2644,SIGMA,EQ,65301,43527,66.66
20,2645,SIGNATURE,EQ,179901,10455,5.81
20,2646,SIGNORIA,SM,3000,2000,66.67
20,2647,SIGNPOST,EQ,477110,232790,48.79
20,2648,SIKA,EQ,320814,77973,24.30
20,2649,SIKKO,EQ,724725,588416,81.19
20,2650,SIL,EQ,13786,10024,72.71
20,2651,SILGO,EQ,267705,39487,14.75
20,2652,SILINV,EQ,1028,584,56.81
20,2653,SILKFLEX,ST,13000,12000,92.31
20,2654,SILLYMONKS,EQ,11262,7815,69.39
20,2655,SILVER,EQ,1055796,374617,35.48
20,2656,SILVER1,EQ,8334182,4616550,55.39
20,2657,SILVER360,EQ,57581,29969,52.05
20,2658,SILVERADD,EQ,285408,122402,42.89
20,2659,SILVERAG,EQ,358550,193390,53.94
20,2660,SILVERBEES,EQ,23037992,8427105,36.58
20,2661,SILVERBETA,EQ,572617,354801,61.96
20,2662,SILVERBND,EQ,30564,18232,59.65
20,2663,SILVERCASE,EQ,9385999,1948466,20.76
20,2664,SILVERIETF,EQ,3324667,1664097,50.05
20,2665,SILVERTUC,EQ,366639,149012,40.64
20,2666,SIMCA,SM,39600,27000,68.18
20,2667,SIMPLEXINF,EQ,126557,78190,61.78
20,2668,SINCLAIR,EQ,13248,9286,70.09
20,2669,SINDHUTRAD,EQ,2566197,362269,14.12
20,2670,SINGERIND,EQ,76954,56493,73.41
20,2671,SINTERCOM,EQ,186502,182710,97.97
20,2672,SIRCA,EQ,265228,51845,19.55
20,2673,SIS,EQ,69655,32726,46.98
20,2674,SIYSIL,EQ,42900,20361,47.46
20,2675,SJLOGISTIC,SM,33250,26500,79.70
20,2676,SJS,EQ,58061,30127,51.89
20,2677,SJVN,EQ,4061124,1485318,36.57
20,2678,SKFINDIA,EQ,36642,20713,56.53
20,2679,SKFINDUS,EQ,61972,39301,63.42
20,2680,SKIPPER,EQ,562799,250489,44.51
20,2681,SKMEGGPROD,EQ,824300,358359,43.47
20,2682,SKP,SM,13000,8000,61.54
20,2683,SKYGOLD,EQ,333767,161820,48.48
20,2684,SLONE,SM,6000,5200,86.67
20,2685,SMALL250,EQ,790379,426562,53.97
20,2686,SMALLADD,EQ,62853,51013,81.16
20,2687,SMALLCAP,EQ,1573896,935695,59.45
20,2688,SMALLGROWW,EQ,16690,11740,70.34
20,2689,SMARTEN,ST,72000,72000,100.00
20,2690,SMARTWORKS,EQ,37321,19037,51.01
20,2691,SMCGLOBAL,EQ,1891776,1235303,65.30
20,2692,SML100CASE,EQ,1440651,1016576,70.56
20,2693,SMLMAH,EQ,71651,48733,68.01
20,2694,SMLT,EQ,8002,4307,53.82
20,2695,SMSPHARMA,EQ,82235,52815,64.22
20,2696,SNEHAA,ST,2000,2000,100.00
20,2697,SNOWMAN,EQ,180974,91571,50.60
20,2698,SNXT30BEES,EQ,4824,2931,60.76
20,2699,SNXT50BETA,EQ,4542,3041,66.95
20,2700,SOBHA,EQ,87589,25566,29.19
20,2701,SOCL,ST,3200,3200,100.00
20,2702,SOLARA,EQ,198064,91616,46.26
20,2703,SOLARINDS,EQ,124061,47696,38.45
20,2704,SOLARWORLD,EQ,126263,71579,56.69
20,2705,SOLEX,EQ,20418,10128,49.60
20,2706,SOMANYCERA,EQ,55836,30315,54.29
20,2707,SOMATEX,EQ,11806,6842,57.95
20,2708,SOMICONVEY,EQ,2454,1565,63.77
20,2709,SONACOMS,EQ,3272804,1566496,47.86
20,2710,SONAL,EQ,17,17,100.00
20,2711,SONAMAC,ST,12000,9000,75.00
20,2712,SONAMLTD,EQ,23549,19037,80.84
20,2713,SONATSOFTW,EQ,975159,277164,28.42
20,2714,SONUINFRA,SM,13500,13500,100.00
20,2715,SOTL,EQ,139303,67149,48.20
20,2716,SOUTHBANK,EQ,18373269,8796429,47.88
20,2717,SOUTHWEST,EQ,2121051,1210206,57.06
20,2718,SPAL,EQ,498856,135977,27.26
20,2719,SPANDANA,EQ,239419,114000,47.62
20,2720,SPARC,EQ,1262070,435987,34.55
20,2721,SPCENET,EQ,955407,797125,83.43
20,2722,SPCL,SM,32400,25800,79.63
20,2723,SPCON,SM,1200,1200,100.00
20,2724,SPEB,ST,6000,6000,100.00
20,2725,SPECIALITY,EQ,457142,214924,47.01
20,2726,SPECTRUM,EQ,11867,5538,46.67
20,2727,SPECTSTM,ST,23200,23200,100.00
20,2728,SPENCERS,EQ,89572,47359,52.87
20,2729,SPIC,EQ,644485,296970,46.08
20,2730,SPLIL,EQ,8564,7134,83.30
20,2731,SPLPETRO,EQ,422649,91525,21.66
20,2732,SPMLINFRA,EQ,1286495,528900,41.11
20,2733,SPORTKING,EQ,1020269,233929,22.93
20,2734,SPPPOLY,SM,10000,8000,80.00
20,2735,SPRL,SM,1600,1600,100.00
20,2736,SPUNWEB,SM,27600,18000,65.22
20,2737,SRD,EQ,17120,11650,68.05
20,2738,SREEL,EQ,21163,12527,59.19
20,2739,SRF,EQ,473652,255995,54.05
20,2740,SRGHFL,EQ,9964,9223,92.56
20,2741,SRHHYPOLTD,EQ,14599,11006,75.39
20,2742,SRIVASAVI,SM,12000,8000,66.67
20,2743,SRM,EQ,227777,131428,57.70
20,2744,SRTL,EQ,64835,50373,77.69
20,2745,SSDL,EQ,27418,16515,60.23
20,2746,SSEGL,SM,20800,12800,61.54
20,2747,SSFL,ST,27500,27500,100.00
20,2748,SSFLPP,E1,8967,8252,92.03
20,2749,SSWL,EQ,504938,287951,57.03
20,2750,STALLION,EQ,5154619,1203866,23.36
20,2751,STANLEY,EQ,330182,175651,53.20
20,2752,STAR,EQ,89673,46091,51.40
20,2753,STARCEMENT,EQ,291176,184327,63.30
20,2754,STARHEALTH,EQ,464717,196348,42.25
20,2755,STARPAPER,EQ,3701,3361,90.81
20,2756,STARTECK,EQ,6865,533,7.76
20,2757,STCINDIA,EQ,265977,105294,39.59
20,2758,STEELCAS,EQ,97122,49290,50.75
20,2759,STEELCITY,EQ,7451,5446,73.09
20,2760,STEELXIND,EQ,7640937,3801397,49.75
20,2761,STEL,EQ,28110,3699,13.16
20,2762,STERTOOLS,EQ,36317,17398,47.91
20,2763,STOVEKRAFT,EQ,395344,183328,46.37
20,2764,STRIDERS,SM,25600,24000,93.75
20,2765,STUDDS,EQ,61562,32061,52.08
20,2766,STUDIOLSD,ST,54000,42000,77.78
20,2767,STYL,EQ,318521,182966,57.44
20,2768,STYLAMIND,EQ,26081,14025,53.77
20,2769,STYRENIX,EQ,55837,28097,50.32
20,2770,SUBAHOTELS,SM,43200,34800,80.56
20,2771,SUBROS,EQ,8778610,483874,5.51
20,2772,SUDARCOLOR,EQ,4937,3258,65.99
20,2773,SUDARSCHEM,EQ,280890,155161,55.24
20,2774,SUDEEPPHRM,EQ,181583,101097,55.68
20,2775,SUKHJITS,EQ,59494,29925,50.30
20,2776,SULA,EQ,262857,131081,49.87
20,2777,SUMEETINDS,EQ,6017872,592025,9.84
20,2778,SUMICHEM,EQ,1029271,669345,65.03
20,2779,SUMMITSEC,EQ,1814,1064,58.65
20,2780,SUNCLAY,EQ,9592,5482,57.15
20,2781,SUNDARAM,EQ,401948,280608,69.81
20,2782,SUNDARMFIN,EQ,47309,25762,54.45
20,2783,SUNDRMBRAK,EQ,15415,9655,62.63
20,2784,SUNDRMFAST,EQ,69108,38435,55.62
20,2785,SUNDROP,EQ,7998,7251,90.66
20,2786,SUNFLAG,EQ,158892,67689,42.60
20,2787,SUNLITE,ST,10800,10500,97.22
20,2788,SUNPHARMA,EQ,1588758,1029777,64.82
20,2789,SUNTECK,EQ,198586,116800,58.82
20,2790,SUNTV,EQ,271316,162546,59.91
20,2791,SUPERHOUSE,EQ,5411,4182,77.29
20,2792,SUPRAJIT,EQ,733219,185990,25.37
20,2793,SUPREME,EQ,31451,17437,55.44
20,2794,SUPREMEIND,EQ,117394,41842,35.64
20,2795,SUPREMEINF,EQ,51199,19889,38.85
20,2796,SUPREMEPWR,ST,90000,87000,96.67
20,2797,SUPRIYA,EQ,209002,78447,37.53
20,2798,SURAJEST,EQ,43071,26637,61.84
20,2799,SURAJLTD,EQ,175,158,90.29
20,2800,SURAKSHA,EQ,40665,23716,58.32
20,2801,SURANASOL,EQ,50017,35809,71.59
20,2802,SURANAT&P,EQ,160785,100012,62.20
20,2803,SURANI,ST,3800,3800,100.00
20,2804,SURYALA,EQ,522,470,90.04
20,2805,SURYALAXMI,EQ,2152,1246,57.90
20,2806,SURYAROSNI,EQ,529678,283019,53.43
20,2807,SURYODAY,EQ,955557,530615,55.53
20,2808,SUTLEJTEX,EQ,22738,11889,52.29
20,2809,SUVEN,EQ,1535620,573251,37.33
20,2810,SUVIDHAA,EQ,92334,73734,79.86
20,2811,SUYOG,EQ,91427,54727,59.86
20,2812,SUZLON,EQ,70696950,27965776,39.56
20,2813,SWANCORP,EQ,6740442,1140803,16.92
20,2814,SWARAJ,SM,53000,19000,35.85
20,2815,SWARAJENG,EQ,13930,7030,50.47
20,2816,SWASTIK,ST,1200,1200,100.00
20,2817,SWELECTES,EQ,26263,14910,56.77
20,2818,SWIGGY,EQ,7011146,3000775,42.80
20,2819,SWSOLAR,EQ,6303614,2130420,33.80
20,2820,SYMPHONY,EQ,89830,36121,40.21
20,2821,SYNCOMF,EQ,1493021,987461,66.14
20,2822,SYNGENE,EQ,1124969,848497,75.42
20,2823,SYNOPTICS,SM,10200,8400,82.35
20,2824,SYRMA,EQ,619576,192704,31.10
20,2825,SYSTANGO,SM,20400,16000,78.43
20,2826,TAALTECH,EQ,1172,724,61.77
20,2827,TAC,SM,61200,46800,76.47
20,2828,TAINWALCHM,EQ,3352,2339,69.78
20,2829,TAJGVK,EQ,142402,66922,47.00
20,2830,TALBROAUTO,EQ,187371,95256,50.84
20,2831,TAMBOLIIN,EQ,62517,51183,81.87
20,2832,TANKUP,ST,1000,750,75.00
20,2833,TANLA,EQ,213639,82543,38.64
20,2834,TARACHAND,EQ,66565,33499,50.33
20,2835,TARAPUR,EQ,53138,27088,50.98
20,2836,TARC,EQ,331350,208115,62.81
20,2837,TARIL,EQ,5347122,1866982,34.92
20,2838,TARMAT,EQ,9742,8055,82.68
20,2839,TARSONS,EQ,252883,128600,50.85
20,2840,TASTYBITE,EQ,2035,835,41.03
20,2841,TATACAP,EQ,5709147,2256138,39.52
20,2842,TATACHEM,EQ,667935,317199,47.49
20,2843,TATACOMM,EQ,2750046,1145043,41.64
20,2844,TATACONSUM,EQ,889468,516200,58.03
20,2845,TATAELXSI,EQ,178563,49772,27.87
20,2846,TATAGOLD,EQ,44428197,15848810,35.67
20,2847,TATAINVEST,EQ,213653,89063,41.69
20,2848,TATAPOWER,EQ,6887143,3447962,50.06
20,2849,TATASTEEL,EQ,19238506,12788709,66.47
20,2850,TATATECH,EQ,624986,274064,43.85
20,2851,TATSILV,EQ,51915312,17830620,34.35
20,2852,TATVA,EQ,27054,14749,54.52
20,2853,TAURIAN,SM,41600,25600,61.54
20,2854,TBI,SM,22800,18600,81.58
20,2855,TBOTEK,EQ,171853,59968,34.89
20,2856,TBZ,EQ,315612,137986,43.72
20,2857,TCC,EQ,17375,9870,56.81
20,2858,TCI,EQ,21142,11384,53.85
20,2859,TCIEXP,EQ,14745,7459,50.59
20,2860,TCL,SM,8000,4800,60.00
20,2861,TCPLPACK,EQ,2061,1286,62.40
20,2862,TCS,EQ,4566101,2499593,54.74
20,2863,TDPOWERSYS,EQ,933240,436625,46.79
20,2864,TEAMGTY,EQ,1251,1004,80.26
20,2865,TEAMLEASE,EQ,51084,35853,70.18
20,2866,TEAMTECH,SM,100000,56000,56.00
20,2867,TECH,EQ,122507,97073,79.24
20,2868,TECHD,ST,9900,9600,96.97
20,2869,TECHERA,SM,160800,103200,64.18
20,2870,TECHLABS,ST,54000,47625,88.19
20,2871,TECHM,EQ,2165308,924269,42.69
20,2872,TECHNOE,EQ,232202,108153,46.58
20,2873,TECHNVISN,EQ,220,172,78.18
20,2874,TECILCHEM,EQ,19430,15938,82.03
20,2875,TEGA,EQ,34724,19912,57.34
20,2876,TEJASNET,EQ,4679270,1126442,24.07
20,2877,TEMBO,EQ,42293,21455,50.73
20,2878,TENNIND,EQ,1218878,509938,41.84
20,2879,TERASOFT,EQ,14449,7378,51.06
20,2880,TEXINFRA,EQ,1568368,706675,45.06
20,2881,TEXMOPIPES,EQ,32635,17812,54.58
20,2882,TEXRAIL,EQ,7272365,2473909,34.02
20,2883,TFCILTD,EQ,10779659,7848382,72.81
20,2884,TFL,EQ,12110,5810,47.98
20,2885,TGBHOTELS,EQ,14371,13600,94.64
20,2886,TGL,SM,14400,13800,95.83
20,2887,THAKDEV,EQ,20,10,50.00
20,2888,THANGAMAYL,EQ,150618,53898,35.78
20,2889,THEINVEST,EQ,12003,8089,67.39
20,2890,THEJO,EQ,8127,4695,57.77
20,2891,THELEELA,EQ,945801,367069,38.81
20,2892,THEMISMED,EQ,5184654,459799,8.87
20,2893,THERMAX,EQ,223727,124305,55.56
20,2894,THESL,SM,57000,57000,100.00
20,2895,THOMASCOOK,EQ,2475781,810777,32.75
20,2896,THOMASCOTT,EQ,79562,38278,48.11
20,2897,THYROCARE,EQ,198021,99283,50.14
20,2898,TI,EQ,382086,196828,51.51
20,2899,TICL,EQ,1285045,646393,50.30
20,2900,TIIL,EQ,6825,3061,44.85
20,2901,TIINDIA,EQ,180692,98154,54.32
20,2902,TIJARIA,EQ,16018,13822,86.29
20,2903,TIL,EQ,126496,63230,49.99
20,2904,TIMESCAN,SM,8000,8000,100.00
20,2905,TIMETECHNO,EQ,2616892,836155,31.95
20,2906,TIMEX,EQ,535885,250452,46.74
20,2907,TIMKEN,EQ,404069,167452,41.44
20,2908,TINNARUBR,EQ,76923,39566,51.44
20,2909,TIPSFILMS,EQ,1290,766,59.38
20,2910,TIPSMUSIC,EQ,110498,62331,56.41
20,2911,TIRUMALCHM,EQ,717944,386548,53.84
20,2912,TIRUPATI,SM,13375,13375,100.00
20,2913,TITAGARH,EQ,610809,218960,35.85
20,2914,TITAN,EQ,390835,211203,54.04
20,2915,TMB,EQ,144098,71013,49.28
20,2916,TMCV,EQ,8496496,3751711,44.16
20,2917,TMPV,EQ,15447905,6099442,39.48
20,2918,TNIDETF,EQ,33412,27864,83.40
20,2919,TNPETRO,EQ,64481,35374,54.86
20,2920,TNPL,EQ,60588,39059,64.47
20,2921,TNTELE,EQ,15626,8947,57.26
20,2922,TOLINS,EQ,52161,21848,41.89
20,2923,TOP100CASE,EQ,655606,501128,76.44
20,2924,TOP10ADD,EQ,221316,198777,89.82
20,2925,TOP15IETF,EQ,56527,45337,80.20
20,2926,TOP20,EQ,41944,28822,68.72
20,2927,TORNTPHARM,EQ,704691,457385,64.91
20,2928,TORNTPOWER,EQ,286458,174895,61.05
20,2929,TOTAL,EQ,3913,3638,92.97
20,2930,TOUCHWOOD,EQ,894,511,57.16
20,2931,TPHQ,EQ,1596638,872491,54.65
20,2932,TPLPLASTEH,EQ,359936,154020,42.79
20,2933,TRACXN,EQ,282452,220927,78.22
20,2934,TRANSPEK,EQ,2210,1358,61.45
20,2935,TRANSRAILL,EQ,673013,314463,46.72
20,2936,TRANSTEEL,SM,12000,8000,66.67
20,2937,TRAVELFOOD,EQ,53362,25503,47.79
20,2938,TREEHOUSE,EQ,20745,14097,67.95
20,2939,TREJHARA,EQ,11244,6165,54.83
20,2940,TREL,EQ,84429,59270,70.20
20,2941,TRENT,EQ,1265490,444340,35.11
20,2942,TRF,EQ,18870,13548,71.80
20,2943,TRIDENT,EQ,7579514,3421450,45.14
20,2944,TRIGYN,EQ,9988,6409,64.17
20,2945,TRITURBINE,EQ,5384171,966523,17.95
20,2946,TRIVENI,EQ,454553,276696,60.87
20,2947,TROM,ST,5400,5400,100.00
20,2948,TRU,EQ,25382,20816,82.01
20,2949,TRUALT,EQ,230713,112944,48.95
20,2950,TRUST,SM,13800,13800,100.00
20,2951,TSC,SM,8000,8000,100.00
20,2952,TSFINV,EQ,340784,235393,69.07
20,2953,TTKHLTCARE,EQ,2857,2308,80.78
20,2954,TTKPRESTIG,EQ,151916,71432,47.02
20,2955,TTL,EQ,65259,42827,65.63
20,2956,TTML,EQ,2160265,747864,34.62
20,2957,TUNWAL,SM,44000,34000,77.27
20,2958,TVSELECT,EQ,90108,21188,23.51
20,2959,TVSHLTD,EQ,6795,3122,45.95
20,2960,TVSMNCRPS,P1,694899,693342,99.78
20,2961,TVSMOTOR,EQ,990508,669209,67.56
20,2962,TVSSCS,EQ,757996,485017,63.99
20,2963,TVSSRICHAK,EQ,11401,6942,60.89
20,2964,TVTODAY,EQ,55956,39999,71.48
20,2965,TVVISION,EQ,7137,5575,78.11
20,2966,TWCGOLDETF,EQ,4734,4579,96.73
20,2967,UBL,EQ,75926,36178,47.65
20,2968,UCAL,EQ,162280,68119,41.98
20,2969,UCL,ST,14000,14000,100.00
20,2970,UCOBANK,EQ,8184209,2532879,30.95
20,2971,UDS,EQ,137752,70408,51.11
20,2972,UEL,EQ,6719,3931,58.51
20,2973,UFBL,EQ,259912,92592,35.62
20,2974,UFLEX,EQ,43759,24434,55.84
20,2975,UFO,EQ,123325,87415,70.88
20,2976,UGARSUGAR,EQ,104131,60188,57.80
20,2977,UGROCAP,EQ,189223,122935,64.97
20,2978,UHTL,ST,154000,138000,89.61
20,2979,UJJIVANSFB,EQ,6072723,3172229,52.24
20,2980,ULTRACEMCO,EQ,226862,159427,70.27
20,2981,ULTRAMAR,EQ,30390,22006,72.41
20,2982,UMIYA-MRO,EQ,29690,19725,66.44
20,2983,UNICHEMLAB,EQ,101952,27719,27.19
20,2984,UNIECOM,EQ,355690,170341,47.89
20,2985,UNIENTER,EQ,11373,5366,47.18
20,2986,UNIHEALTH,ST,32000,28500,89.06
20,2987,UNILEX,SM,11200,8000,71.43
20,2988,UNIMECH,EQ,221320,107784,48.70
20,2989,UNIONBANK,EQ,8516217,4119319,48.37
20,2990,UNIONGOLD,EQ,982,470,47.86
20,2991,UNIPARTS,EQ,216825,111991,51.65
20,2992,UNITDSPR,EQ,747124,397303,53.18
20,2993,UNITECH,EQ,14158054,8888700,62.78
20,2994,UNITEDTEA,EQ,2007,1681,83.76
20,2995,UNIVASTU,EQ,295093,123561,41.87
20,2996,UNIVCABLES,EQ,487033,166950,34.28
20,2997,UNOMINDA,EQ,697213,387117,55.52
20,2998,UPL,EQ,1107992,724970,65.43
20,2999,URAVIDEF,EQ,71215,62232,87.39
20,3000,URBAN,SM,16000,11200,70.00
20,3001,URBANCO,EQ,21074051,3935767,18.68
20,3002,URJA,EQ,2024691,855770,42.27
20,3003,USHAFIN,SM,35200,27200,77.27
20,3004,USHAMART,EQ,445173,222802,50.05
20,3005,USK,EQ,37065,29524,79.65
20,3006,UTIAMC,EQ,212038,124659,58.79
20,3007,UTKAL,ST,4000,4000,100.00
20,3008,UTKARSHBNK,EQ,6217203,2896901,46.59
20,3009,UTLSOLAR,EQ,221178,132959,60.11
20,3010,UTSSAV,ST,45000,45000,100.00
20,3011,UTTAMSUGAR,EQ,49927,28287,56.66
20,3012,UYFINCORP,EQ,96022,53877,56.11
20,3013,V2RETAIL,EQ,910081,349693,38.42
20,3014,VADILALIND,EQ,24374,14175,58.16
