Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22062026,1822890169,0003159
Trade Date <22-JUN-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2175,PHOENIXLTD,EQ,458753,333629,72.73
20,2176,PHOGLOBAL,SM,10000,6000,60.00
20,2177,PICCADIL,EQ,112480,68184,60.62
20,2178,PIDILITIND,EQ,775668,452430,58.33
20,2179,PIGL,EQ,155303,89105,57.37
20,2180,PIIND,EQ,215282,137835,64.03
20,2181,PILANIINVS,EQ,2104,1301,61.83
20,2182,PINELABS,EQ,16083411,5705066,35.47
20,2183,PIONEEREMB,EQ,10714,8060,75.23
20,2184,PIONRINV,EQ,2389,963,40.31
20,2185,PIRAMALFIN,EQ,514901,274625,53.34
20,2186,PITTIENG,EQ,90201,49992,55.42
20,2187,PIXTRANS,EQ,13951,8814,63.18
20,2188,PKTEA,EQ,1,1,100.00
20,2189,PLASTIBLEN,EQ,43381,27783,64.04
20,2190,PLATIND,EQ,91308,48911,53.57
20,2191,PML,EQ,131,105,80.15
20,2192,PNB,EQ,13513267,7870728,58.24
20,2193,PNBGILTS,EQ,1650816,520699,31.54
20,2194,PNBHOUSING,EQ,483741,226206,46.76
20,2195,PNC,EQ,3540,2801,79.12
20,2196,PNCINFRA,EQ,1322953,737735,55.76
20,2197,PNGJL,EQ,202458,121381,59.95
20,2198,PNGSREVA,EQ,87880,56648,64.46
20,2199,POCL,EQ,167706,79751,47.55
20,2200,PODDARMENT,EQ,5445,3006,55.21
20,2201,POKARNA,EQ,289160,104321,36.08
20,2202,POLICYBZR,EQ,3541471,1951799,55.11
20,2203,POLYCAB,EQ,157543,70566,44.79
20,2204,POLYMED,EQ,321765,115719,35.96
20,2205,POLYPLEX,EQ,76255,30600,40.13
20,2206,POLYSIL,SM,23000,17500,76.09
20,2207,PONNIERODE,EQ,26483,10563,39.89
20,2208,POONAWALLA,EQ,1070917,460447,43.00
20,2209,POSITRON,ST,3600,3300,91.67
20,2210,POWERGRID,EQ,11678414,7380543,63.20
20,2211,POWERICA,EQ,1082101,561243,51.87
20,2212,POWERINDIA,EQ,68245,19279,28.25
20,2213,POWERMECH,EQ,744949,186124,24.98
20,2214,PPAP,EQ,38023,21286,55.98
20,2215,PPL,EQ,123666,56729,45.87
20,2216,PPLPHARMA,EQ,2709985,1596615,58.92
20,2217,PPSL,ST,246000,222000,90.24
20,2218,PRABHA,EQ,31232,20950,67.08
20,2219,PRADPME,EQ,32698,18553,56.74
20,2220,PRAENG,EQ,57737,47222,81.79
20,2221,PRAJIND,EQ,1145196,488658,42.67
20,2222,PRAKASH,EQ,344311,187111,54.34
20,2223,PRAKASHSTL,EQ,151348,93916,62.05
20,2224,PRAMARA,SM,89000,66500,74.72
20,2225,PRANIK,SM,1600,1600,100.00
20,2226,PRATHAM,SM,17600,15600,88.64
20,2227,PRAVEG,EQ,77603,38825,50.03
20,2228,PRECAM,EQ,339793,137888,40.58
20,2229,PRECISION,SM,14000,14000,100.00
20,2230,PRECOT,EQ,2956,1866,63.13
20,2231,PRECWIRE,EQ,281908,133888,47.49
20,2232,PREMCO,EQ,569,504,88.58
20,2233,PREMEXPLN,EQ,782474,381910,48.81
20,2234,PREMIERENE,EQ,1310849,620727,47.35
20,2235,PREMIUM,SM,27000,18000,66.67
20,2236,PRESSTONIC,SM,93600,85600,91.45
20,2237,PRESTIGE,EQ,788586,449935,57.06
20,2238,PRICOLLTD,EQ,787007,364053,46.26
20,2239,PRIMECAB,ST,73600,68800,93.48
20,2240,PRIMESECU,EQ,62391,43379,69.53
20,2241,PRIMO,EQ,370485,176958,47.76
20,2242,PRINCEPIPE,EQ,426526,207370,48.62
20,2243,PRITIKA,SM,18000,18000,100.00
20,2244,PRITIKAUTO,EQ,2399244,1573161,65.57
20,2245,PRIVISCL,EQ,221419,114454,51.69
20,2246,PRIZOR,ST,14000,12800,91.43
20,2247,PRLIND,SM,21000,15000,71.43
20,2248,PROFX,SM,12800,12800,100.00
20,2249,PROLIFE,SM,1500,1500,100.00
20,2250,PROPEQUITY,SM,1800,1800,100.00
20,2251,PROSTARM,EQ,150358,85825,57.08
20,2252,PROTEAN,EQ,206012,95891,46.55
20,2253,PROV,SM,160,160,100.00
20,2254,PROZONER,EQ,130379,81164,62.25
20,2255,PRSMJOHNSN,EQ,306538,137542,44.87
20,2256,PRUDENT,EQ,34585,19294,55.79
20,2257,PSB,EQ,2081153,1000854,48.09
20,2258,PSFL,SM,30000,24000,80.00
20,2259,PSPPROJECT,EQ,116462,60719,52.14
20,2260,PSUBANK,EQ,8104,3424,42.25
20,2261,PSUBANKADD,EQ,26310,19487,74.07
20,2262,PSUBNKBEES,EQ,1468556,1009195,68.72
20,2263,PSUBNKIETF,EQ,121878,71869,58.97
20,2264,PTC,EQ,606012,304331,50.22
20,2265,PTCIL,EQ,25313,11587,45.77
20,2266,PTL,EQ,216413,137483,63.53
20,2267,PUNJABCHEM,EQ,72836,65679,90.17
20,2268,PURPLEUTED,SM,27250,21750,79.82
20,2269,PURVA,EQ,124286,66467,53.48
20,2270,PUSHPA,SM,7000,5000,71.43
20,2271,PVP,EQ,274523,106802,38.90
20,2272,PVRINOX,EQ,326519,183294,56.14
20,2273,PVSL,EQ,27453,19992,72.82
20,2274,PVTBANIETF,EQ,1242982,692761,55.73
20,2275,PVTBANKADD,EQ,1115006,1076424,96.54
20,2276,PVTBKGROWW,EQ,82644,56327,68.16
20,2277,PWL,EQ,27541568,5008440,18.19
20,2278,PYRAMID,EQ,48384,27752,57.36
20,2279,QFIL,SM,48000,47000,97.92
20,2280,QGOLDHALF,EQ,119277,52912,44.36
20,2281,QLINE,SM,172800,107200,62.04
20,2282,QMSMEDI,EQ,13659,9464,69.29
20,2283,QNIFTY,EQ,2164,1843,85.17
20,2284,QUADFUTURE,EQ,617388,207723,33.65
20,2285,QUAL30IETF,EQ,132441,46878,35.40
20,2286,QUALITY30,EQ,32643,16589,50.82
20,2287,QUESS,EQ,207715,103077,49.62
20,2288,QUESTLAB,SM,31200,26400,84.62
20,2289,QUICKTOUCH,SM,1500,1000,66.67
20,2290,QUINT,EQ,3157,2139,67.75
20,2291,QVCEL,SM,1600,1600,100.00
